"","Taxon","IUCNName","Year","IUCN_code","ID"
"12014","Nactus serpensinsula","Nactus serpensinsula",2022,"VU","Nactus serpensinsula_2022_VU"
"12015","Nactus serpensinsula","Nactus serpensinsula",2023,"VU","Nactus serpensinsula_2023_VU"
"12016","Naultinus elegans","Naultinus elegans",1997,"NE","Naultinus elegans_1997_Not assessed"
"12017","Naultinus elegans","Naultinus elegans",1998,"NE","Naultinus elegans_1998_Not assessed"
"12018","Naultinus elegans","Naultinus elegans",1999,"NE","Naultinus elegans_1999_Not assessed"
"12019","Naultinus elegans","Naultinus elegans",2000,"NE","Naultinus elegans_2000_Not assessed"
"12020","Naultinus elegans","Naultinus elegans",2001,"NE","Naultinus elegans_2001_Not assessed"
"12021","Naultinus elegans","Naultinus elegans",2002,"NE","Naultinus elegans_2002_Not assessed"
"12022","Naultinus elegans","Naultinus elegans",2003,"NE","Naultinus elegans_2003_Not assessed"
"12023","Naultinus elegans","Naultinus elegans",2004,"NE","Naultinus elegans_2004_Not assessed"
"12024","Naultinus elegans","Naultinus elegans",2005,"NE","Naultinus elegans_2005_Not assessed"
"12025","Naultinus elegans","Naultinus elegans",2006,"NE","Naultinus elegans_2006_Not assessed"
"12026","Naultinus elegans","Naultinus elegans",2007,"NE","Naultinus elegans_2007_Not assessed"
"12027","Naultinus elegans","Naultinus elegans",2008,"NE","Naultinus elegans_2008_Not assessed"
"12028","Naultinus elegans","Naultinus elegans",2009,"NE","Naultinus elegans_2009_Not assessed"
"12029","Naultinus elegans","Naultinus elegans",2010,"NE","Naultinus elegans_2010_Not assessed"
"12030","Naultinus elegans","Naultinus elegans",2011,"NE","Naultinus elegans_2011_Not assessed"
"12031","Naultinus elegans","Naultinus elegans",2012,"NE","Naultinus elegans_2012_Not assessed"
"12032","Naultinus elegans","Naultinus elegans",2013,"NE","Naultinus elegans_2013_Not assessed"
"12033","Naultinus elegans","Naultinus elegans",2014,"NE","Naultinus elegans_2014_Not assessed"
"12034","Naultinus elegans","Naultinus elegans",2015,"NE","Naultinus elegans_2015_Not assessed"
"12035","Naultinus elegans","Naultinus elegans",2016,"NE","Naultinus elegans_2016_Not assessed"
"12036","Naultinus elegans","Naultinus elegans",2017,"NE","Naultinus elegans_2017_Not assessed"
